timestamp,host,rtt_ms,loss_total,sent_total,avg_rtt_ms,min_rtt_ms,max_rtt_ms
2026-04-09 07:02:45.298,10.45.0.26,40.0,3,595,55.05,7.09,231.0
2026-04-09 07:02:45.442,10.45.0.26,36.3,3,596,55.02,7.09,231.0
2026-04-09 07:02:45.581,10.45.0.26,183.0,3,597,55.24,7.09,231.0
2026-04-09 07:02:45.868,10.45.0.26,29.4,3,598,55.2,7.09,231.0
2026-04-09 07:02:46.000,10.45.0.26,27.4,3,599,55.15,7.09,231.0
2026-04-09 07:02:46.130,10.45.0.26,22.9,3,600,55.09,7.09,231.0
2026-04-09 07:02:46.257,10.45.0.26,57.0,3,601,55.1,7.09,231.0
2026-04-09 07:02:46.418,10.45.0.26,20.7,3,602,55.04,7.09,231.0
2026-04-09 07:02:46.542,10.45.0.26,36.2,3,603,55.01,7.09,231.0
2026-04-09 07:02:46.680,10.45.0.26,37.0,3,604,54.98,7.09,231.0
2026-04-09 07:02:46.821,10.45.0.26,38.4,3,605,54.95,7.09,231.0
2026-04-09 07:02:46.963,10.45.0.26,15.4,3,606,54.89,7.09,231.0
2026-04-09 07:02:47.082,10.45.0.26,17.1,3,607,54.82,7.09,231.0
2026-04-09 07:02:47.202,10.45.0.26,35.9,3,608,54.79,7.09,231.0
2026-04-09 07:02:47.341,10.45.0.26,22.4,3,609,54.74,7.09,231.0
2026-04-09 07:02:47.467,10.45.0.26,121.0,3,610,54.85,7.09,231.0
2026-04-09 07:02:47.692,10.45.0.26,25.7,3,611,54.8,7.09,231.0
2026-04-09 07:02:47.822,10.45.0.26,32.3,3,612,54.76,7.09,231.0
2026-04-09 07:02:47.957,10.45.0.26,122.0,3,613,54.87,7.09,231.0
2026-04-09 07:02:48.183,10.45.0.26,146.0,3,614,55.02,7.09,231.0
2026-04-09 07:02:48.432,10.45.0.26,26.7,3,615,54.98,7.09,231.0
2026-04-09 07:02:48.562,10.45.0.26,52.5,3,616,54.97,7.09,231.0
2026-04-09 07:02:48.718,10.45.0.26,15.4,3,617,54.91,7.09,231.0
2026-04-09 07:02:48.837,10.45.0.26,192.0,3,618,55.13,7.09,231.0
